# Figure 4 data: routing-specific monthly fee modelled from published Google Cloud list prices.
# Modelled, not measured: N-Dynamic = ceil(n/8) x $54.75 NCC spoke; N-Cloud = flat $73.00 GKE fee; N-Static = $0.
figure,config,nodes,fee,unit
4,N-Dynamic,169,1204.5,USD/month
4,N-Cloud,169,73.0,USD/month
4,N-Static,169,0.0,USD/month
4,N-Dynamic,170,1204.5,USD/month
4,N-Cloud,170,73.0,USD/month
4,N-Static,170,0.0,USD/month
4,N-Dynamic,171,1204.5,USD/month
4,N-Cloud,171,73.0,USD/month
4,N-Static,171,0.0,USD/month
4,N-Dynamic,172,1204.5,USD/month
4,N-Cloud,172,73.0,USD/month
4,N-Static,172,0.0,USD/month
4,N-Dynamic,173,1204.5,USD/month
4,N-Cloud,173,73.0,USD/month
4,N-Static,173,0.0,USD/month
4,N-Dynamic,174,1204.5,USD/month
4,N-Cloud,174,73.0,USD/month
4,N-Static,174,0.0,USD/month
4,N-Dynamic,175,1204.5,USD/month
4,N-Cloud,175,73.0,USD/month
4,N-Static,175,0.0,USD/month
4,N-Dynamic,176,1204.5,USD/month
4,N-Cloud,176,73.0,USD/month
4,N-Static,176,0.0,USD/month
4,N-Dynamic,177,1259.25,USD/month
4,N-Cloud,177,73.0,USD/month
4,N-Static,177,0.0,USD/month
4,N-Dynamic,178,1259.25,USD/month
4,N-Cloud,178,73.0,USD/month
4,N-Static,178,0.0,USD/month
4,N-Dynamic,179,1259.25,USD/month
4,N-Cloud,179,73.0,USD/month
4,N-Static,179,0.0,USD/month
4,N-Dynamic,180,1259.25,USD/month
4,N-Cloud,180,73.0,USD/month
4,N-Static,180,0.0,USD/month
4,N-Dynamic,181,1259.25,USD/month
4,N-Cloud,181,73.0,USD/month
4,N-Static,181,0.0,USD/month
4,N-Dynamic,182,1259.25,USD/month
4,N-Cloud,182,73.0,USD/month
4,N-Static,182,0.0,USD/month
4,N-Dynamic,183,1259.25,USD/month
4,N-Cloud,183,73.0,USD/month
